date,day_number,platform,content_format,topic_title,hook_line,key_points,cta,repurpose_notes,pillar
2026-07-10,5,Instagram,carousel,The Afternoon Crash Scorecard From Week 1,"I mapped every 2 PM slump against food, sleep, and meeting load. One culprit dominated.",weekly scoreboard; one failed assumption; one win worth keeping; one adjustment for next week,Comment REVIEW and I’ll send the weekly scorecard format,Turn each slide into a separate Story frame; reuse the failed-assumption slide as the opening beat for Sunday notes or future recap content.,founder journey/build-in-public
2026-07-10,5,TikTok,TikTok,The 90-Second Founder Lunch Audit,This is the exact lunch I ate before my biggest glucose spike of the week.,mistake or tension point; what the data said; what I changed next,Watch the full breakdown on YouTube,Use B-roll from the actual week and overlay the chart; mirror the strongest sentence in the Friday carousel caption.,founder journey/build-in-public
2026-07-11,6,TikTok,TikTok,What I Refused to Change in Week 1,"I did not optimize everything at once, because clean experiments matter more than performative discipline.",one concise verdict; one caveat; one next experiment or decision,Follow for next week’s experiment drop,Record as a direct response to the week’s top comment; pull the verdict sentence into Sunday notes and the next Monday cold open.,longevity protocols & N=1 experiments
2026-07-13,8,YouTube,long-form video,I Ate the Same Calories Earlier for 7 Days: Here’s What Happened to My Sleep and Glucose,"Moving dinner forward was the simplest change in the whole experiment, and the overnight data shifted fast.",earlier dinner cutoff; overnight glucose stability; 3 AM wake-up changes; realistic founder schedule tradeoffs,Subscribe to the Founder Longevity Lab newsletter,Cut 3x 45s vertical clips for TikTok Tue/Wed/Fri; pull 5 chart screenshots into an Instagram carousel on Tuesday.,longevity protocols & N=1 experiments
2026-07-13,8,Instagram,Reel,The Startup Dinner Habit I’m Killing First,Shipping late made late eating feel normal. My sleep data says it is expensive.,week focus: Late dinner and sleep debt; one founder constraint; one measurable takeaway,Comment DASHBOARD and I’ll DM the tracking template,Re-edit the YouTube opener into a 35s Reel with on-screen charts; save strongest line for Thursday Story recap.,longevity protocols & N=1 experiments
2026-07-13,8,TikTok,TikTok,The Cheapest Fix in My Longevity Stack Was a Clock,A meal timing change beat most of the supplements I have tested.,arc: 30-day CGM under startup stress; strongest chart reveal; founder-budget takeaway,Follow for the next data drop in this 90-day series,Use a fast-cut native version of the Monday YouTube reveal; repost the best comment response as a Friday clip.,longevity protocols & N=1 experiments
2026-07-14,9,Instagram,carousel,Before vs After: Early Dinner Week CGM and Sleep Charts,I changed one variable and the overnight line finally calmed down.,chart 1 baseline or comparison; chart 2 biggest surprise; chart 3 founder takeaway; chart 4 next test,Save this post for your next health stack audit,Export charts from the YouTube dashboard walkthrough; adapt slide 1 and slide 4 into a LinkedIn-style screenshot for future reuse.,longevity protocols & N=1 experiments
2026-07-14,9,TikTok,TikTok,Stop Bragging About Late-Night Founder Grinds,My overnight glucose was treating every late dinner like a tax on tomorrow.,one contrarian claim; one chart or anecdote; one immediate action,Comment DATA and I’ll DM the dashboard template,Record natively with a tighter hook than the YouTube cut; reuse subtitles from the clip for an Instagram Story poll on Wednesday.,longevity protocols & N=1 experiments
2026-07-15,10,Instagram,Story,Founder Schedule vs Early Dinner Reality,This is how I tried to stop treating 9 PM as lunch round two.,behind-the-scenes setup; one screenshot from the tracker; one poll or Q&A sticker,Reply FOUNDERS and I’ll share the exact checklist,Turn the best Story question into a Saturday TikTok response; archive the screenshots for a future monthly recap carousel.,founder journey/build-in-public
2026-07-15,10,TikTok,TikTok,What Happened When I Ate Dinner 90 Minutes Earlier,I expected tiny changes. The sleep and glucose combo moved more than I thought.,problem most creators oversimplify; what I tested instead; what changed in practice,Follow for the full Thursday write-up,Film as a direct-to-camera native explainer; lift the closing sentence into Thursday Substack email preview text.,science explainers
2026-07-16,11,Substack,Substack essay,Why Meal Timing Matters More Than Founders Want It To,Week 2 showed that late dinners were not just a willpower issue. They were a systems problem with measurable costs.,methods and caveats; raw data table summary; evidence grade; founder-budget recommendation,Subscribe to the Founder Longevity Lab newsletter,Embed 2 chart screenshots from the week; spin out the strongest paragraph into Friday Instagram carousel caption and next Monday YouTube intro.,science explainers
2026-07-16,11,YouTube,YouTube Short,The 8:45 PM Dinner Rule That Changed My Overnight CGM,"Same food, earlier timing. My nighttime graph looked like a different person.",single dramatic chart moment; one plain-English lesson; one next step,Watch the full breakdown on YouTube,Clip the highest-retention 30s moment from Monday’s long-form; repost natively to Instagram Reels on Thursday night if it spikes early.,longevity protocols & N=1 experiments
2026-07-16,11,Instagram,Reel,3 Founder-Friendly Ways to Eat Earlier Without Losing Work Time,You do not need a chef or a perfect calendar to stop wrecking your sleep with dinner timing.,one myth to correct; one mechanism or chart; one realistic founder action,Share this with a founder who is overcomplicating health,Use the same core script as the Thursday YouTube Short with a different first line; cut still frames into Story slides after publishing.,science explainers
2026-07-17,12,Instagram,carousel,My 3 AM Wake-Up Scoreboard After 7 Days,"The wake-ups did not vanish, but one pattern got much harder to ignore.",weekly scoreboard; one failed assumption; one win worth keeping; one adjustment for next week,Comment REVIEW and I’ll send the weekly scorecard format,Turn each slide into a separate Story frame; reuse the failed-assumption slide as the opening beat for Sunday notes or future recap content.,founder journey/build-in-public
2026-07-17,12,TikTok,TikTok,The Post-Demo Day Meal That Ruined My Night,One celebratory dinner created the ugliest overnight line of the week.,mistake or tension point; what the data said; what I changed next,Watch the full breakdown on YouTube,Use B-roll from the actual week and overlay the chart; mirror the strongest sentence in the Friday carousel caption.,founder journey/build-in-public
2026-07-18,13,TikTok,TikTok,My Rule for Founder Events That End at 9 PM,"If networking means wrecking tomorrow’s cognition, the event needs a protocol.",one concise verdict; one caveat; one next experiment or decision,Follow for next week’s experiment drop,Record as a direct response to the week’s top comment; pull the verdict sentence into Sunday notes and the next Monday cold open.,longevity protocols & N=1 experiments
2026-07-20,15,YouTube,long-form video,I Moved My Caffeine Back 90 Minutes for a Week: Here’s What Happened,I tested whether my “productive” coffee routine was actually helping my glucose control and sleep debt.,caffeine delay protocol; fasting glucose trend; anxiety during meetings; sleep onset effects,Subscribe to the Founder Longevity Lab newsletter,Cut 3x 45s vertical clips for TikTok Tue/Wed/Fri; pull 5 chart screenshots into an Instagram carousel on Tuesday.,science explainers
2026-07-20,15,Instagram,Reel,The Coffee Rule I Stole From Sleep Science and Stress-Tested on Startup Days,Delaying caffeine sounded minor. It changed the shape of my mornings more than expected.,week focus: Caffeine timing audit; one founder constraint; one measurable takeaway,Comment DASHBOARD and I’ll DM the tracking template,Re-edit the YouTube opener into a 35s Reel with on-screen charts; save strongest line for Thursday Story recap.,science explainers
2026-07-20,15,TikTok,TikTok,Everyone Is Wrong About “Need Coffee Immediately”,Your groggiest feeling might be exactly why immediate caffeine is not helping.,arc: 30-day CGM under startup stress; strongest chart reveal; founder-budget takeaway,Follow for the next data drop in this 90-day series,Use a fast-cut native version of the Monday YouTube reveal; repost the best comment response as a Friday clip.,science explainers
2026-07-21,16,Instagram,carousel,My Caffeine Timing Experiment in 6 Charts,Here is the difference between drinking coffee on autopilot and drinking it on purpose.,chart 1 baseline or comparison; chart 2 biggest surprise; chart 3 founder takeaway; chart 4 next test,Save this post for your next health stack audit,Export charts from the YouTube dashboard walkthrough; adapt slide 1 and slide 4 into a LinkedIn-style screenshot for future reuse.,science explainers
2026-07-21,16,TikTok,TikTok,I Tested Delayed Coffee During a Founder Week,"The result was not magical, but it was measurable.",one contrarian claim; one chart or anecdote; one immediate action,Comment DATA and I’ll DM the dashboard template,Record natively with a tighter hook than the YouTube cut; reuse subtitles from the clip for an Instagram Story poll on Wednesday.,science explainers
2026-07-22,17,Instagram,Story,"Founder Morning Timeline: Wake, Walk, Coffee, First Deep Work Block",This is the exact sequence I used to test whether later caffeine helps under startup stress.,behind-the-scenes setup; one screenshot from the tracker; one poll or Q&A sticker,Reply FOUNDERS and I’ll share the exact checklist,Turn the best Story question into a Saturday TikTok response; archive the screenshots for a future monthly recap carousel.,founder journey/build-in-public
2026-07-22,17,TikTok,TikTok,The 3-Step Morning Stack That Replaced Instant Coffee,"Light, water, movement, then coffee. The order mattered.",problem most creators oversimplify; what I tested instead; what changed in practice,Follow for the full Thursday write-up,Film as a direct-to-camera native explainer; lift the closing sentence into Thursday Substack email preview text.,science explainers
2026-07-23,18,Substack,Substack essay,"Caffeine Timing, Cortisol, and Founder Performance: What the Data Supports",This week’s results forced me to separate internet caffeine lore from what changed in my own dashboard.,methods and caveats; raw data table summary; evidence grade; founder-budget recommendation,Subscribe to the Founder Longevity Lab newsletter,Embed 2 chart screenshots from the week; spin out the strongest paragraph into Friday Instagram carousel caption and next Monday YouTube intro.,science explainers
2026-07-23,18,YouTube,YouTube Short,Why My 6:30 AM Coffee Was Backfiring,The caffeine habit that felt disciplined was sabotaging the rest of the day.,single dramatic chart moment; one plain-English lesson; one next step,Watch the full breakdown on YouTube,Clip the highest-retention 30s moment from Monday’s long-form; repost natively to Instagram Reels on Thursday night if it spikes early.,science explainers
2026-07-23,18,Instagram,Reel,What the Science Actually Says About Delaying Caffeine,The internet turned one decent idea into dogma. Here is the useful version.,one myth to correct; one mechanism or chart; one realistic founder action,Share this with a founder who is overcomplicating health,Use the same core script as the Thursday YouTube Short with a different first line; cut still frames into Story slides after publishing.,science explainers
2026-07-24,19,Instagram,carousel,My Most Productive Morning This Month Had Less Caffeine Drama,The productivity gain did not come from more stimulation. It came from less volatility.,weekly scoreboard; one failed assumption; one win worth keeping; one adjustment for next week,Comment REVIEW and I’ll send the weekly scorecard format,Turn each slide into a separate Story frame; reuse the failed-assumption slide as the opening beat for Sunday notes or future recap content.,founder journey/build-in-public
2026-07-24,19,TikTok,TikTok,The Meeting Day vs Coding Day Caffeine Split,I do not use the same caffeine strategy when my calendar is chaos.,mistake or tension point; what the data said; what I changed next,Watch the full breakdown on YouTube,Use B-roll from the actual week and overlay the chart; mirror the strongest sentence in the Friday carousel caption.,founder journey/build-in-public
2026-07-25,20,TikTok,TikTok,What Changed More Than Energy When I Delayed Coffee,The biggest win was not how awake I felt. It was how stable I stayed.,one concise verdict; one caveat; one next experiment or decision,Follow for next week’s experiment drop,Record as a direct response to the week’s top comment; pull the verdict sentence into Sunday notes and the next Monday cold open.,science explainers
2026-07-27,22,YouTube,long-form video,I Walked 10 Minutes After Meals for 7 Days: My CGM Finale,"This was the simplest protocol in the whole month, and it had the cleanest effect on my glucose spikes.",post-meal walk rule; spike reduction pattern; compliance during packed days; final lessons from 30 days,Subscribe to the Founder Longevity Lab newsletter,Cut 3x 45s vertical clips for TikTok Tue/Wed/Fri; pull 5 chart screenshots into an Instagram carousel on Tuesday.,longevity protocols & N=1 experiments
2026-07-27,22,Instagram,Reel,My 30-Day CGM Experiment in 45 Seconds,"If you only copy one thing from the month, copy the habit that actually survived startup life.",week focus: Post-meal walking and final readout; one founder constraint; one measurable takeaway,Comment DASHBOARD and I’ll DM the tracking template,Re-edit the YouTube opener into a 35s Reel with on-screen charts; save strongest line for Thursday Story recap.,longevity protocols & N=1 experiments
2026-07-27,22,TikTok,TikTok,This $0 Habit Beat My Glucose “Stack”,Ten minutes of walking outperformed the stuff people try to sell you.,arc: 30-day CGM under startup stress; strongest chart reveal; founder-budget takeaway,Follow for the next data drop in this 90-day series,Use a fast-cut native version of the Monday YouTube reveal; repost the best comment response as a Friday clip.,longevity protocols & N=1 experiments
2026-07-28,23,Instagram,carousel,The Final CGM Scorecard: What Moved and What Did Not,A month of tracking turns vague “wellness” into a decision memo.,chart 1 baseline or comparison; chart 2 biggest surprise; chart 3 founder takeaway; chart 4 next test,Save this post for your next health stack audit,Export charts from the YouTube dashboard walkthrough; adapt slide 1 and slide 4 into a LinkedIn-style screenshot for future reuse.,longevity protocols & N=1 experiments
2026-07-28,23,TikTok,TikTok,My Founder CGM Experiment Is Over,"Here is the one protocol I kept, the one I dropped, and the surprise I did not expect.",one contrarian claim; one chart or anecdote; one immediate action,Comment DATA and I’ll DM the dashboard template,Record natively with a tighter hook than the YouTube cut; reuse subtitles from the clip for an Instagram Story poll on Wednesday.,longevity protocols & N=1 experiments
2026-07-29,24,Instagram,Story,How I Fit Post-Meal Walks Into Back-to-Back Calls,"This only works if it survives a real founder calendar, so I built around that constraint.",behind-the-scenes setup; one screenshot from the tracker; one poll or Q&A sticker,Reply FOUNDERS and I’ll share the exact checklist,Turn the best Story question into a Saturday TikTok response; archive the screenshots for a future monthly recap carousel.,founder journey/build-in-public
2026-07-29,24,TikTok,TikTok,Stop Overcomplicating Glucose Control,The most useful intervention in my month cost nothing and took less time than scrolling.,problem most creators oversimplify; what I tested instead; what changed in practice,Follow for the full Thursday write-up,Film as a direct-to-camera native explainer; lift the closing sentence into Thursday Substack email preview text.,science explainers
2026-07-30,25,Substack,Substack essay,"30 Days of Founder CGM Data: Wins, Failures, and the Protocols Worth Keeping","The experiment is over. Here is the full founder-budget playbook, including what I got wrong.",methods and caveats; raw data table summary; evidence grade; founder-budget recommendation,Subscribe to the Founder Longevity Lab newsletter,Embed 2 chart screenshots from the week; spin out the strongest paragraph into Friday Instagram carousel caption and next Monday YouTube intro.,science explainers
2026-07-30,25,YouTube,YouTube Short,The 10-Minute Walk That Beat a Fancy Glucose Hack,"No supplement, no gadget upgrade. Just a short walk after eating.",single dramatic chart moment; one plain-English lesson; one next step,Watch the full breakdown on YouTube,Clip the highest-retention 30s moment from Monday’s long-form; repost natively to Instagram Reels on Thursday night if it spikes early.,longevity protocols & N=1 experiments
2026-07-30,25,Instagram,Reel,3 Glucose Hacks I’m Dropping After the Experiment,A lot of internet advice sounds smart until you compare it against an actual month of data.,one myth to correct; one mechanism or chart; one realistic founder action,Share this with a founder who is overcomplicating health,Use the same core script as the Thursday YouTube Short with a different first line; cut still frames into Story slides after publishing.,science explainers
2026-07-31,26,Instagram,carousel,What I’d Tell a Founder Before Buying a CGM,"The sensor is useful, but only if you know which patterns to look for.",weekly scoreboard; one failed assumption; one win worth keeping; one adjustment for next week,Comment REVIEW and I’ll send the weekly scorecard format,Turn each slide into a separate Story frame; reuse the failed-assumption slide as the opening beat for Sunday notes or future recap content.,founder journey/build-in-public
2026-07-31,26,TikTok,TikTok,The Ugly Data I Almost Did Not Post,"The point of build-in-public health is publishing the misses, not just the wins.",mistake or tension point; what the data said; what I changed next,Watch the full breakdown on YouTube,Use B-roll from the actual week and overlay the chart; mirror the strongest sentence in the Friday carousel caption.,founder journey/build-in-public
2026-08-01,27,TikTok,TikTok,Would I Wear a CGM Again?,Only if I had a question to answer. Otherwise it becomes expensive trivia.,one concise verdict; one caveat; one next experiment or decision,Follow for next week’s experiment drop,Record as a direct response to the week’s top comment; pull the verdict sentence into Sunday notes and the next Monday cold open.,longevity protocols & N=1 experiments
2026-08-03,29,YouTube,long-form video,"I Wore Oura, Whoop, and Apple Watch at the Same Time: Here’s the Test Plan",People argue about wearables like sports teams. I care which one survives founder life and gives signal instead of stress.,devices and metrics; scoring rubric; founder-use-case criteria; budget and subscription tradeoffs,Subscribe to the Founder Longevity Lab newsletter,Cut 3x 45s vertical clips for TikTok Tue/Wed/Fri; pull 5 chart screenshots into an Instagram carousel on Tuesday.,health-tech & tools
2026-08-03,29,Instagram,Reel,Why I’m Triple-Wearing Devices Instead of Trusting Influencer Reviews,Most reviews never define the job to be done. Mine does.,week focus: Setup and scoring rubric; one founder constraint; one measurable takeaway,Comment DASHBOARD and I’ll DM the tracking template,Re-edit the YouTube opener into a 35s Reel with on-screen charts; save strongest line for Thursday Story recap.,health-tech & tools
2026-08-03,29,TikTok,TikTok,I’m Wearing 3 Wearables So You Don’t Have To,"This test is about signal, friction, and whether any of them are worth the founder tax.",arc: Wearable benchmark: Oura vs Whoop vs Apple Watch; strongest chart reveal; founder-budget takeaway,Follow for the next data drop in this 90-day series,Use a fast-cut native version of the Monday YouTube reveal; repost the best comment response as a Friday clip.,health-tech & tools
2026-08-04,30,Instagram,carousel,"My Wearable Benchmark Rubric: Accuracy, Friction, and Founder Usefulness",The best wearable is not the one with the most metrics. It is the one that changes better decisions.,chart 1 baseline or comparison; chart 2 biggest surprise; chart 3 founder takeaway; chart 4 next test,Save this post for your next health stack audit,Export charts from the YouTube dashboard walkthrough; adapt slide 1 and slide 4 into a LinkedIn-style screenshot for future reuse.,health-tech & tools
2026-08-04,30,TikTok,TikTok,The Problem With Most Oura vs Whoop Videos,They compare features. I am comparing actual decisions changed.,one contrarian claim; one chart or anecdote; one immediate action,Comment DATA and I’ll DM the dashboard template,Record natively with a tighter hook than the YouTube cut; reuse subtitles from the clip for an Instagram Story poll on Wednesday.,health-tech & tools
2026-08-05,31,Instagram,Story,What I’m Tracking Across All 3 Wearables This Month,"Sleep, HRV, resting heart rate, workouts, friction, battery, and whether the recommendation was actually actionable.",behind-the-scenes setup; one screenshot from the tracker; one poll or Q&A sticker,Reply FOUNDERS and I’ll share the exact checklist,Turn the best Story question into a Saturday TikTok response; archive the screenshots for a future monthly recap carousel.,founder journey/build-in-public
2026-08-05,31,TikTok,TikTok,How I Score Health Tech Like a Product Builder,A good dashboard is useless if the user experience makes you quit by day 10.,problem most creators oversimplify; what I tested instead; what changed in practice,Follow for the full Thursday write-up,Film as a direct-to-camera native explainer; lift the closing sentence into Thursday Substack email preview text.,science explainers
2026-08-06,32,Substack,Substack essay,"How I’m Benchmarking Oura, Whoop, and Apple Watch for Founder Longevity","This comparison starts with methodology, because wearable reviews without a rubric are just vibes.",methods and caveats; raw data table summary; evidence grade; founder-budget recommendation,Subscribe to the Founder Longevity Lab newsletter,Embed 2 chart screenshots from the week; spin out the strongest paragraph into Friday Instagram carousel caption and next Monday YouTube intro.,science explainers
2026-08-06,32,YouTube,YouTube Short,The One Question Most Wearable Reviews Ignore,I do not care which device wins in a lab if it fails during a shipping week.,single dramatic chart moment; one plain-English lesson; one next step,Watch the full breakdown on YouTube,Clip the highest-retention 30s moment from Monday’s long-form; repost natively to Instagram Reels on Thursday night if it spikes early.,health-tech & tools
2026-08-06,32,Instagram,Reel,The Hidden Cost of Wearables Is Not the Hardware,Subscriptions and mental overhead matter more than most reviewers admit.,one myth to correct; one mechanism or chart; one realistic founder action,Share this with a founder who is overcomplicating health,Use the same core script as the Thursday YouTube Short with a different first line; cut still frames into Story slides after publishing.,science explainers
2026-08-07,33,Instagram,carousel,Founder Criteria for Health Tech: What Counts as Signal,"If a metric does not help me train, sleep, or schedule better, it is dashboard wallpaper.",weekly scoreboard; one failed assumption; one win worth keeping; one adjustment for next week,Comment REVIEW and I’ll send the weekly scorecard format,Turn each slide into a separate Story frame; reuse the failed-assumption slide as the opening beat for Sunday notes or future recap content.,founder journey/build-in-public
2026-08-07,33,TikTok,TikTok,What My Apple Watch Still Does Better Than the New Health Apps,Sometimes the default tool wins because it is already on your wrist.,mistake or tension point; what the data said; what I changed next,Watch the full breakdown on YouTube,Use B-roll from the actual week and overlay the chart; mirror the strongest sentence in the Friday carousel caption.,founder journey/build-in-public
2026-08-08,34,TikTok,TikTok,The Founder Wearable Stack I’m Testing for 30 Days,"Three devices, one stressed schedule, and no patience for vanity metrics.",one concise verdict; one caveat; one next experiment or decision,Follow for next week’s experiment drop,Record as a direct response to the week’s top comment; pull the verdict sentence into Sunday notes and the next Monday cold open.,health-tech & tools
2026-08-10,36,YouTube,long-form video,Which Wearable Actually Caught My Bad Sleep Week?,"I had a brutal startup sleep stretch, which made this the best possible week to test whose data I can trust.",sleep onset and wake detection; HRV divergence; nap handling; which insights changed behavior,Subscribe to the Founder Longevity Lab newsletter,Cut 3x 45s vertical clips for TikTok Tue/Wed/Fri; pull 5 chart screenshots into an Instagram carousel on Tuesday.,health-tech & tools
2026-08-10,36,Instagram,Reel,My Worst Sleep Week Became the Best Wearable Test,A perfect routine flatters every device. A startup week exposes them.,week focus: Sleep tracking accuracy; one founder constraint; one measurable takeaway,Comment DASHBOARD and I’ll DM the tracking template,Re-edit the YouTube opener into a 35s Reel with on-screen charts; save strongest line for Thursday Story recap.,health-tech & tools
2026-08-10,36,TikTok,TikTok,My Wearables Disagreed on a Terrible Night of Sleep,"When all 3 devices tell different stories, you learn which one is actually useful.",arc: Wearable benchmark: Oura vs Whoop vs Apple Watch; strongest chart reveal; founder-budget takeaway,Follow for the next data drop in this 90-day series,Use a fast-cut native version of the Monday YouTube reveal; repost the best comment response as a Friday clip.,health-tech & tools
2026-08-11,37,Instagram,carousel,Sleep Tracking Showdown: The Charts Behind My 3 AM Wake-Ups,I lined up all 3 devices against the same nights. One was clearly more useful.,chart 1 baseline or comparison; chart 2 biggest surprise; chart 3 founder takeaway; chart 4 next test,Save this post for your next health stack audit,Export charts from the YouTube dashboard walkthrough; adapt slide 1 and slide 4 into a LinkedIn-style screenshot for future reuse.,health-tech & tools
2026-08-11,37,TikTok,TikTok,The Device That Best Caught My 3 AM Wake-Up,Only one made the interruption obvious enough to change what I did next.,one contrarian claim; one chart or anecdote; one immediate action,Comment DATA and I’ll DM the dashboard template,Record natively with a tighter hook than the YouTube cut; reuse subtitles from the clip for an Instagram Story poll on Wednesday.,health-tech & tools
2026-08-12,38,Instagram,Story,"My Bedtime, Last Meal, and Wearable Scores From the Roughest Night",This is what a real bad founder night looked like in the data.,behind-the-scenes setup; one screenshot from the tracker; one poll or Q&A sticker,Reply FOUNDERS and I’ll share the exact checklist,Turn the best Story question into a Saturday TikTok response; archive the screenshots for a future monthly recap carousel.,founder journey/build-in-public
2026-08-12,38,TikTok,TikTok,Stop Obsessing Over Sleep Scores,"If the score hides the reason you slept badly, it is not helping.",problem most creators oversimplify; what I tested instead; what changed in practice,Follow for the full Thursday write-up,Film as a direct-to-camera native explainer; lift the closing sentence into Thursday Substack email preview text.,science explainers
2026-08-13,39,Substack,Substack essay,Sleep Accuracy Under Real Founder Conditions: Oura vs Whoop vs Apple Watch,"This week’s comparison matters because founder sleep is messy, interrupted, and exactly where good wearables should help.",methods and caveats; raw data table summary; evidence grade; founder-budget recommendation,Subscribe to the Founder Longevity Lab newsletter,Embed 2 chart screenshots from the week; spin out the strongest paragraph into Friday Instagram carousel caption and next Monday YouTube intro.,science explainers
2026-08-13,39,YouTube,YouTube Short,Only One Device Nailed My 3 AM Wake-Ups,The gap between “somewhat right” and “actionably right” was bigger than I expected.,single dramatic chart moment; one plain-English lesson; one next step,Watch the full breakdown on YouTube,Clip the highest-retention 30s moment from Monday’s long-form; repost natively to Instagram Reels on Thursday night if it spikes early.,health-tech & tools
2026-08-13,39,Instagram,Reel,What Sleep Scores Get Wrong When Your Schedule Is Chaos,A single number can hide the exact pattern you need to fix.,one myth to correct; one mechanism or chart; one realistic founder action,Share this with a founder who is overcomplicating health,Use the same core script as the Thursday YouTube Short with a different first line; cut still frames into Story slides after publishing.,science explainers
2026-08-14,40,Instagram,carousel,The Sleep Metric I Trust More Than “Readiness”,One metric helped me make better choices faster than the recovery scores did.,weekly scoreboard; one failed assumption; one win worth keeping; one adjustment for next week,Comment REVIEW and I’ll send the weekly scorecard format,Turn each slide into a separate Story frame; reuse the failed-assumption slide as the opening beat for Sunday notes or future recap content.,founder journey/build-in-public
2026-08-14,40,TikTok,TikTok,The Founder Mistake That Broke My Sleep Data,Late laptop time made the entire dashboard uglier than any supplement could fix.,mistake or tension point; what the data said; what I changed next,Watch the full breakdown on YouTube,Use B-roll from the actual week and overlay the chart; mirror the strongest sentence in the Friday carousel caption.,founder journey/build-in-public
2026-08-15,41,TikTok,TikTok,What I Look At First Each Morning Now,It is not the flashy readiness score. It is the metric most tied to real choices.,one concise verdict; one caveat; one next experiment or decision,Follow for next week’s experiment drop,Record as a direct response to the week’s top comment; pull the verdict sentence into Sunday notes and the next Monday cold open.,health-tech & tools
2026-08-17,43,YouTube,long-form video,Oura vs Whoop vs Apple Watch for Training on a Founder Schedule,"I do not train like a pro athlete. I train between meetings, deadlines, and bad nights of sleep. That changes the verdict.",workout auto-detection; strain interpretation; recovery guidance usefulness; time-to-action tradeoffs,Subscribe to the Founder Longevity Lab newsletter,Cut 3x 45s vertical clips for TikTok Tue/Wed/Fri; pull 5 chart screenshots into an Instagram carousel on Tuesday.,health-tech & tools
